
=== gpt2 torch.float32 ===
 seq_len  ms/forward  vs len-1   tok/ms
       1        6.34      1.00x      0.2
      64        6.47      1.02x      9.9
     320        7.05      1.11x     45.4
     512        7.44      1.17x     68.8
    1024       11.76      1.85x     87.1

=== meta-llama/Llama-3.1-8B-Instruct torch.float16 ===
 seq_len  ms/forward  vs len-1   tok/ms
       1       25.06      1.00x      0.0
      64       29.41      1.17x      2.2
     320       41.96      1.67x      7.6
     512       49.11      1.96x     10.4
    1024       90.32      3.60x     11.3
    2048      177.16      7.07x     11.6
    4096      378.46     15.10x     10.8
    8192      852.67     34.03x      9.6
